Row,State,DivisionNm,Year1,Party1,Year2,Party2
3,VIC,Ballarat,2013,ALP,2016,ALP
4,NSW,Banks,2013,LP,2016,LP
5,SA,Barker,2013,LP,2016,LP
6,NSW,Barton,2013,LP,2016,ALP
7,TAS,Bass,2013,LP,2016,ALP
8,ACT,Bean,2013,,2016,
9,VIC,Bendigo,2013,ALP,2016,ALP
10,NSW,Bennelong,2013,LP,2016,LP
11,NSW,Berowra,2013,LP,2016,LP
12,QLD,Blair,2013,ALP,2016,ALP
13,NSW,Blaxland,2013,ALP,2016,ALP
14,QLD,Bonner,2013,LNP,2016,LNP
15,SA,Boothby,2013,LP,2016,LP
16,QLD,Bowman,2013,LNP,2016,LNP
17,TAS,Braddon,2013,LP,2016,ALP
18,NSW,Bradfield,2013,LP,2016,LP
19,WA,Brand,2013,ALP,2016,ALP
20,QLD,Brisbane,2013,LNP,2016,LNP
21,VIC,Bruce,2013,ALP,2016,ALP
22,WA,Bullwinkel,2013,,2016,
23,WA,Burt,2013,,2016,ALP
24,NSW,Calare,2013,NP,2016,NP
25,VIC,Calwell,2013,ALP,2016,ALP
26,ACT,Canberra,2013,ALP,2016,ALP
27,WA,Canning,2013,LP,2016,LP
28,QLD,Capricornia,2013,LNP,2016,LNP
29,VIC,Casey,2013,LP,2016,LP
30,NSW,Chifley,2013,ALP,2016,ALP
31,VIC,Chisholm,2013,ALP,2016,LP
32,TAS,Clark,2013,IND,2016,IND
33,NSW,Cook,2013,LP,2016,LP
34,VIC,Cooper,2013,ALP,2016,ALP
35,VIC,Corangamite,2013,LP,2016,LP
36,VIC,Corio,2013,ALP,2016,ALP
37,WA,Cowan,2013,LP,2016,ALP
38,NSW,Cowper,2013,NP,2016,NP
39,NSW,Cunningham,2013,ALP,2016,ALP
40,WA,Curtin,2013,LP,2016,LP
41,QLD,Dawson,2013,LNP,2016,LNP
42,VIC,Deakin,2013,LP,2016,LP
43,QLD,Dickson,2013,LNP,2016,LNP
44,NSW,Dobell,2013,LP,2016,ALP
45,VIC,Dunkley,2013,LP,2016,LP
46,WA,Durack,2013,LP,2016,LP
47,NSW,Eden-Monaro,2013,LP,2016,ALP
48,QLD,Fadden,2013,LNP,2016,LNP
49,QLD,Fairfax,2013,PUP,2016,LNP
50,NSW,Farrer,2013,LP,2016,LP
51,ACT,Fenner,2013,ALP,2016,ALP
52,QLD,Fisher,2013,LNP,2016,LNP
53,VIC,Flinders,2013,LP,2016,LP
54,QLD,Flynn,2013,LNP,2016,LNP
55,QLD,Forde,2013,LNP,2016,LNP
56,WA,Forrest,2013,LP,2016,LP
57,NSW,Fowler,2013,ALP,2016,ALP
58,TAS,Franklin,2013,ALP,2016,ALP
59,WA,Fremantle,2013,ALP,2016,ALP
60,VIC,Gellibrand,2013,ALP,2016,ALP
61,NSW,Gilmore,2013,LP,2016,LP
62,VIC,Gippsland,2013,NP,2016,NP
63,VIC,Goldstein,2013,LP,2016,LP
64,VIC,Gorton,2013,ALP,2016,ALP
65,NSW,Grayndler,2013,ALP,2016,ALP
66,NSW,Greenway,2013,ALP,2016,ALP
67,SA,Grey,2013,LP,2016,LP
68,QLD,Griffith,2013,ALP,2016,ALP
69,QLD,Groom,2013,LNP,2016,LNP
70,WA,Hasluck,2013,LP,2016,LP
71,VIC,Hawke,2013,,2016,
72,QLD,Herbert,2013,LNP,2016,ALP
73,SA,Hindmarsh,2013,LP,2016,ALP
74,QLD,Hinkler,2013,LNP,2016,LNP
75,VIC,Holt,2013,ALP,2016,ALP
76,VIC,Hotham,2013,ALP,2016,ALP
77,NSW,Hughes,2013,LP,2016,LP
78,NSW,Hume,2013,LP,2016,LP
79,NSW,Hunter,2013,ALP,2016,ALP
80,VIC,Indi,2013,IND,2016,IND
81,VIC,Isaacs,2013,ALP,2016,ALP
82,VIC,Jagajaga,2013,ALP,2016,ALP
83,QLD,Kennedy,2013,KAP,2016,KAP
84,NSW,Kingsford Smith,2013,ALP,2016,ALP
85,SA,Kingston,2013,ALP,2016,ALP
86,VIC,Kooyong,2013,LP,2016,LP
87,VIC,La Trobe,2013,LP,2016,LP
88,VIC,Lalor,2013,ALP,2016,ALP
89,QLD,Leichhardt,2013,LP,2016,LP
90,QLD,Lilley,2013,ALP,2016,ALP
91,NSW,Lindsay,2013,LP,2016,ALP
92,NT,Lingiari,2013,ALP,2016,ALP
93,QLD,Longman,2013,LNP,2016,ALP
94,NSW,Lyne,2013,NP,2016,NP
95,TAS,Lyons,2013,LP,2016,ALP
96,NSW,Macarthur,2013,LP,2016,ALP
97,NSW,Mackellar,2013,LP,2016,LP
98,VIC,Macnamara,2013,ALP,2016,ALP
99,NSW,Macquarie,2013,LP,2016,ALP
100,SA,Makin,2013,ALP,2016,ALP
101,VIC,Mallee,2013,NP,2016,NP
102,QLD,Maranoa,2013,LNP,2016,LNP
103,VIC,Maribyrnong,2013,ALP,2016,ALP
104,SA,Mayo,2013,LP,2016,XEN
105,VIC,McEwen,2013,ALP,2016,ALP
106,NSW,McMahon,2013,ALP,2016,ALP
107,QLD,McPherson,2013,LNP,2016,LNP
108,VIC,Melbourne,2013,GRN,2016,GRN
109,VIC,Menzies,2013,LP,2016,LP
110,NSW,Mitchell,2013,LP,2016,LP
111,VIC,Monash,2013,LP,2016,LP
112,QLD,Moncrieff,2013,LNP,2016,LNP
113,WA,Moore,2013,LP,2016,LP
114,QLD,Moreton,2013,ALP,2016,ALP
115,NSW,New England,2013,NP,2016,NP
116,NSW,Newcastle,2013,ALP,2016,ALP
117,VIC,Nicholls,2013,LP,2016,NP
118,WA,O'Connor,2013,LP,2016,LP
119,QLD,Oxley,2013,ALP,2016,ALP
120,NSW,Page,2013,NP,2016,NP
121,NSW,Parkes,2013,NP,2016,NP
122,NSW,Parramatta,2013,ALP,2016,ALP
123,NSW,Paterson,2013,LP,2016,ALP
124,WA,Pearce,2013,LP,2016,LP
125,WA,Perth,2013,ALP,2016,ALP
126,QLD,Petrie,2013,LNP,2016,LNP
127,QLD,Rankin,2013,ALP,2016,ALP
