StateAb,GivenNm,Surname,PartyNm,PartyAb,Year
QLD,Paul,SCARR,Liberal National Party of Queensland,LNP,2019
QLD,Nita,GREEN,Australian Labor Party,ALP,2019
QLD,Susan,MCDONALD,Liberal National Party of Queensland,LNP,2019
QLD,Malcolm,ROBERTS,Pauline Hanson's One Nation,ON,2019
QLD,Gerard,RENNICK,Liberal National Party of Queensland,LNP,2019
QLD,Larissa,WATERS,The Greens,GRN,2019
SA,Anne,RUSTON,Liberal,LP,2019
SA,Alex,GALLACHER,Australian Labor Party,ALP,2019
SA,David,FAWCETT,Liberal,LP,2019
SA,Marielle,SMITH,Australian Labor Party,ALP,2019
SA,Sarah,HANSON-YOUNG,The Greens,GRN,2019
SA,Alex,ANTIC,Liberal,LP,2019
TAS,Richard,COLBECK,Liberal,LP,2019
TAS,Carol,BROWN,Australian Labor Party,ALP,2019
TAS,Claire,CHANDLER,Liberal,LP,2019
TAS,Nick,McKIM,The Greens,GRN,2019
TAS,Catryna,BILYK,Australian Labor Party,ALP,2019
TAS,Jacqui,LAMBIE,Jacqui Lambie Network,JLN,2019
VIC,James,PATERSON,Liberal,LP,2019
VIC,Raffaele,CICCONE,Australian Labor Party,ALP,2019
VIC,Jane,HUME,Liberal,LP,2019
VIC,Jess,WALSH,Australian Labor Party,ALP,2019
VIC,Janet,RICE,The Greens (VIC),GVIC,2019
VIC,David,VAN,Liberal,LP,2019
WA,Linda,REYNOLDS,Liberal,LP,2019
WA,Patrick,DODSON,Australian Labor Party,ALP,2019
WA,Slade,BROCKMAN,Liberal,LP,2019
WA,Matt,O'SULLIVAN,Liberal,LP,2019
WA,Louise,PRATT,Australian Labor Party,ALP,2019
WA,Jordon,STEELE-JOHN,The Greens (WA),GRN,2019
ACT,Katy,GALLAGHER,Australian Labor Party,ALP,2016
ACT,Zed,SESELJA,Liberal,LP,2016
NSW,Marise,PAYNE,Liberal,LP,2016
NSW,Sam,DASTYARI,Labor,ALP,2016
NSW,Arthur,SINODINOS,Liberal,LP,2016
NSW,Jenny,McALLISTER,Labor,ALP,2016
NSW,Fiona,NASH,The Nationals,NP,2016
NSW,Deborah,O'NEILL,Labor,ALP,2016
NSW,Concetta,FIERRAVANTI-WELLS,Liberal,LP,2016
NSW,Doug,CAMERON,Labor,ALP,2016
NSW,Lee,RHIANNON,The Greens,GRN,2016
NSW,John,WILLIAMS,The Nationals,NP,2016
NSW,Brian,BURSTON,Pauline Hanson's One Nation,ON,2016
NSW,David,LEYONHJELM,Liberal Democrats,LDP,2016
NT,Malarndirri,McCARTHY,Australian Labor Party (Northern Territory) Branch,ALP,2016
